Game 212: Q-table size = 26249, Epsilon = 0.1031
Game 213: Q-table size = 26249, Epsilon = 0.1026
Game 214: Q-table size = 26267, Epsilon = 0.1021
Game 215: Q-table size = 26274, Epsilon = 0.1016
Game 216: Q-table size = 26274, Epsilon = 0.1011
Game 217: Q-table size = 26286, Epsilon = 0.1006
Game 218: Q-table size = 26294, Epsilon = 0.1001
Game 219: Q-table size = 26294, Epsilon = 0.0996
Game 220: Q-table size = 26299, Epsilon = 0.0991
Game 221: Q-table size = 26299, Epsilon = 0.0986
Game 222: Q-table size = 26316, Epsilon = 0.0981
Game 223: Q-table size = 26316, Epsilon = 0.0976
Game 224: Q-table size = 26316, Epsilon = 0.0971
Game 225: Q-table size = 26316, Epsilon = 0.0966
Game 226: Q-table size = 26317, Epsilon = 0.0962
Game 227: Q-table size = 26317, Epsilon = 0.0957
Game 228: Q-table size = 26331, Epsilon = 0.0952
Game 229: Q-table size = 26331, Epsilon = 0.0947
Game 230: Q-table size = 26344, Epsilon = 0.0942
Game 231: Q-table size = 26344, Epsilon = 0.0938
Game 232: Q-table size = 26344, Epsilon = 0.0933
Game 233: Q-table size = 26344, Epsilon = 0.0928
Game 234: Q-table size = 26344, Epsilon = 0.0924
Game 235: Q-table size = 26360, Epsilon = 0.0919
Game 236: Q-table size = 26363, Epsilon = 0.0915
Game 237: Q-table size = 26363, Epsilon = 0.0910
Game 238: Q-table size = 26363, Epsilon = 0.0905
Game 239: Q-table size = 26363, Epsilon = 0.0901
Game 240: Q-table size = 26367, Epsilon = 0.0896
Game 241: Q-table size = 26380, Epsilon = 0.0892
Game 242: Q-table size = 26380, Epsilon = 0.0887
Game 243: Q-table size = 26386, Epsilon = 0.0883
Game 244: Q-table size = 26386, Epsilon = 0.0879
Game 245: Q-table size = 26399, Epsilon = 0.0874
Game 246: Q-table size = 26399, Epsilon = 0.0870
Game 247: Q-table size = 26413, Epsilon = 0.0865
Game 248: Q-table size = 26419, Epsilon = 0.0861
Game 249: Q-table size = 26419, Epsilon = 0.0857
Game 250: Q-table size = 26419, Epsilon = 0.0853
Game 251: Q-table size = 26419, Epsilon = 0.0848
Game 252: Q-table size = 26419, Epsilon = 0.0844
Game 253: Q-table size = 26419, Epsilon = 0.0840
Game 254: Q-table size = 26426, Epsilon = 0.0836
Game 255: Q-table size = 26433, Epsilon = 0.0831
Game 256: Q-table size = 26433, Epsilon = 0.0827
Game 257: Q-table size = 26433, Epsilon = 0.0823
Game 258: Q-table size = 26450, Epsilon = 0.0819
Game 259: Q-table size = 26457, Epsilon = 0.0815
Game 260: Q-table size = 26457, Epsilon = 0.0811
Game 261: Q-table size = 26458, Epsilon = 0.0807
Game 262: Q-table size = 26467, Epsilon = 0.0803
Game 263: Q-table size = 26467, Epsilon = 0.0799
Game 264: Q-table size = 26467, Epsilon = 0.0795
Game 265: Q-table size = 26467, Epsilon = 0.0791
Game 266: Q-table size = 26474, Epsilon = 0.0787
Game 267: Q-table size = 26474, Epsilon = 0.0783
Game 268: Q-table size = 26474, Epsilon = 0.0779
Game 269: Q-table size = 26474, Epsilon = 0.0775
Game 270: Q-table size = 26474, Epsilon = 0.0771
Game 271: Q-table size = 26474, Epsilon = 0.0767
Game 272: Q-table size = 26486, Epsilon = 0.0764
Game 273: Q-table size = 26486, Epsilon = 0.0760
Game 274: Q-table size = 26486, Epsilon = 0.0756
Game 275: Q-table size = 26486, Epsilon = 0.0752
Game 276: Q-table size = 26486, Epsilon = 0.0748
Game 277: Q-table size = 26497, Epsilon = 0.0745
Game 278: Q-table size = 26505, Epsilon = 0.0741
Game 279: Q-table size = 26505, Epsilon = 0.0737
Game 280: Q-table size = 26505, Epsilon = 0.0734
